word,frequency,rank
corkscrew,41,275
tears,41,275
whats,41,275
finished,41,275
past,40,276
talk,40,276
silver,40,276
run,40,276
wanted,40,276
sort,40,276
pomfret,40,276
wished,40,276
worship,40,276
plain,40,276
angry,40,276
strength,40,276
forward,40,276
certain,40,276
led,40,276
various,40,276
bliss,40,276
uncle,40,276
laugh,40,276
mankind,39,277
cold,39,277
rich,39,277
six,39,277
shape,39,277
favour,39,277
family,39,277
command,39,277
kind,39,277
piece,39,277
secret,39,277
top,39,277
town,39,277
close,39,277
doing,39,277
enter,38,278
broke,38,278
sad,38,278
beyond,38,278
grant,38,278
daughter,38,278
pigeon,38,278
sometimes,38,278
purpose,38,278
due,38,278
seem,38,278
sophy,38,278
whatever,37,279
cut,37,279
captain,37,279
somerville,37,279
wife,37,279
filled,37,279
almost,37,279
virtue,37,279
oer,37,279
gate,37,279
certainly,37,279
oakly,37,279
fancy,37,279
soft,37,279
everything,37,279
low,37,279
afterwards,37,279
five,37,279
instead,37,279
living,37,279
shop,37,279
follow,37,279
hopes,37,279
dress,37,279
tattle,37,279
highest,37,279
bread,37,279
secure,37,279
hate,37,279
wise,37,279
makes,36,280
shillings,36,280
favourite,36,280
youd,36,280
talking,36,280
naples,36,280
thyself,36,280
song,36,280
die,36,280
thine,36,280
dog,36,280
book,36,280
mothers,36,280
host,36,280
mans,36,280
interrupted,36,280
firm,36,280
archers,36,280
carriage,36,280
bold,36,280
choose,36,280
suppose,36,280
beg,36,280
hes,35,281
proper,35,281
passion,35,281
carry,35,281
abbey,35,281
seems,35,281
foot,35,281
read,35,281
yours,35,281
raised,35,281
reign,35,281
water,35,281
today,35,281
number,35,281
loss,35,281
strange,35,281
pulled,35,281
castle,35,281
choice,35,281
seek,35,281
mistaken,35,281
woe,35,281
wood,34,282
grew,34,282
serpent,34,282
golden,34,282
morn,34,282
pleasant,34,282
supper,34,282
anybody,34,282
stars,34,282
paper,34,282
fierce,34,282
danger,34,282
serve,34,282
generous,34,282
account,34,282
armed,34,282
coat,34,282
farm,34,282
false,33,283
middleton,33,283
pale,33,283
appear,33,283
cloud,33,283
expected,33,283
